,book,total_words,latvian_mapped,leftover_latvian,total_words_latvian,chapters,latvian_pct,latvian_maped_pct
0,1_corinthians,6858,5381,866,7525,16,78.46310877806941,71.50830564784053
1,1_john,2174,1378,43,2043,5,63.38546458141674,67.44982868330885
2,1_peter,1696,1185,51,1892,5,69.87028301886792,62.63213530655391
3,1_thessalonians,1490,943,43,1590,5,63.28859060402685,59.30817610062893
4,1_timothy,1598,1218,26,1819,6,76.22027534418022,66.95986805937328
5,2_corinthians,4458,2731,148,4848,13,61.260655002243155,56.332508250825086
6,2_john,246,179,3,246,1,72.76422764227642,72.76422764227642
7,2_peter,1103,721,27,1173,3,65.36718041704442,61.46632566069906
8,2_thessalonians,825,522,43,865,3,63.272727272727266,60.346820809248555
9,2_timothy,1240,894,12,1310,4,72.09677419354838,68.24427480916032
10,3_john,219,149,4,235,1,68.0365296803653,63.40425531914894
11,acts,18584,13336,1398,17954,28,71.7606543263022,74.2787122646764
12,colossians,1587,976,41,1626,4,61.49968494013862,60.02460024600246
13,ephesians,2437,1414,66,2333,6,58.02215839146492,60.60865837976854
14,galatians,2236,1533,54,2489,6,68.55992844364937,61.59100040176778
15,hebrews,4974,3241,45,5209,13,65.1588258946522,62.219235937799965
16,james,1743,1295,60,1848,5,74.29718875502009,70.07575757575758
17,john,15727,12942,2097,15907,21,82.29160043237744,81.36040736782549
18,jude,462,303,11,490,1,65.5844155844156,61.836734693877546
19,luke,19631,12906,482,20087,24,65.74295756711324,64.25051028028078
20,mark,11451,9732,1914,11994,16,84.98821063662562,81.14057028514256
21,matthew,18527,14228,1435,18603,28,76.7960274194419,76.48228780304251
22,philemon,336,213,0,356,1,63.39285714285714,59.8314606741573
23,philippians,1639,1086,15,1654,4,66.25991458206222,65.6590084643289
24,revelation,9892,7347,62,8750,22,74.27213910230489,83.96571428571428
25,romans,7173,4747,22,7514,16,66.17872577722012,63.17540590896993
26,titus,660,473,0,689,3,71.66666666666667,68.65021770682148
